ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Varumärke
102,simple,631555,"Wilfa bakmaskin Brödskål",1,0,visible,Artnr:631555,"Wilfa brödskål passar modell: BM-10",,,taxable,,1,,,0,0,1,,,,0,,,399,"Hem & Hushåll > Hushållsapparater > Wilfa Reservdelar > Bakmaskin, Hem & Hushåll > Hushållsapparater, Hem & Hushåll > Hushållsapparater > Wilfa Reservdelar",,,"https://vitvarudelen.se/wp-content/uploads/2016/03/631555-BM-10.jpg, https://vitvarudelen.se/wp-content/uploads/2016/03/631555-BM-10.jpg",,,,,,,,,0,Wilfa
106,simple,631701,"Wilfa Filterkassett AP-5",1,0,visible,"Artikelnummer: 631708
\n
\nWilfa Filterkassett passar AP-5","Artikelnummer: 631708
\n
\nWilfa Filterkassett passar AP-5",,,taxable,,1,,,0,0,1,,,,0,,,499,"Hem & Hushåll > Hushållsapparater, Hem & Hushåll > Hushållsapparater > Wilfa Reservdelar > Luftrenare/Avfuktare, Hem & Hushåll > Hushållsapparater > Wilfa Reservdelar",,,"https://vitvarudelen.se/wp-content/uploads/2016/03/ap5_1.jpg, https://vitvarudelen.se/wp-content/uploads/2016/03/ap5_1.jpg, https://vitvarudelen.se/wp-content/uploads/2016/03/ap5_2.jpg, https://vitvarudelen.se/wp-content/uploads/2016/03/ap5_3.jpg",,,,,,,,,0,Wilfa
108,simple,631560,"Wilfa Stekhäll till bänkspis",1,0,visible,"Artikelnummer: 631560","<img class="""" src=""https://www.wilfa.com/globalassets/logo/wilfa_rgb_blue.png?w=250"" alt=""Wilfa_RGB_blue.png"" width=""81"" height=""81"" />
\n
\nWilfa Stekhäll passar EMC-3000C samt EMK-218 631560",,,taxable,,1,,,0,0,2,,,,0,,,349,"Hem & Hushåll > Hushållsapparater > Wilfa Reservdelar > Bänkspis, Hem & Hushåll > Hushållsapparater > Wilfa Reservdelar",,,"https://vitvarudelen.se/wp-content/uploads/2016/03/631560.jpg, https://vitvarudelen.se/wp-content/uploads/2016/03/631560.jpg",,,,,,,,,0,Wilfa
114,simple,631621,"Wilfa Vattentank",1,0,visible,"Artnummer: 631621","Wilfa Vattentank
\n
\nPassar modell: WSP-1 631621
\nReservdelar",,,taxable,,1,,,0,0,1,,,,0,,,299,"Hem & Hushåll > Hushållsapparater > Wilfa Reservdelar > Kaffebryggare, Hem & Hushåll > Hushållsapparater, Hem & Hushåll > Hushållsapparater > Wilfa Reservdelar",,,"https://vitvarudelen.se/wp-content/uploads/2016/03/631621.jpg, https://vitvarudelen.se/wp-content/uploads/2016/03/631621.jpg",,,,,,,,,0,Wilfa
120,simple,631625,"Wilfa Filterlock WSP-1",1,0,visible,"Wilfa Filterlock passar till WSP-1 631625
\nReservdelar","Wilfa Filterlock passar till WSP-1 631625
